identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
49338,Centro Deportivo Municipal Alberto García (Pozo Tío Raimundo),1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b7ee7510551c010VgnVCM2000000c205a0aRCRD,"CALLE REGUERA DE TOMATEROS, 39 B",ENTREVIAS,40.372421418063425,-3.6574515621755173,"Centros Espacios Deporte,  Gimnasios"
114782,Centro Deportivo Municipal Alfredo Goyeneche,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=789fe8ae8d81c010VgnVCM1000000b205a0aRCRD,"CALLE ARROYO DE POZUELO, 99",ARAVACA,40.45211512813871,-3.7832937390386396,"Centros Espacios Deporte,  Gimnasios"
4696,Centro Deportivo Municipal Aluche,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4506b0c40971c010VgnVCM1000000b205a0aRCRD,"AVENIDA GENERAL FANJUL, 14",LAS AGUILAS,40.382720517194784,-3.773653600881568,"Centros Espacios Deporte,  Gimnasios"
4624404,Centro Deportivo Municipal Antonio Díaz Miguel,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c90342b9fda34110VgnVCM1000000b205a0aRCRD,"CALLE JOAQUIN DICENTA, 1",ALMENARA,40.471254265861454,-3.6953256978963807,"Centros Espacios Deporte,  Gimnasios"
99578,Centro Deportivo Municipal Barajas,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b86c79262ef5d010VgnVCM1000000b205a0aRCRD,"AVENIDA LOGROÑO, 70",ALAMEDA DE OSUNA,40.46301382809657,-3.587693324074623,"Centros Espacios Deporte,  Gimnasios"
4705,Centro Deportivo Municipal Casa de Campo,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=3876b0c40971c010VgnVCM1000000b205a0aRCRD,"PASEO PUERTA DEL ANGEL, 7",CASA DE CAMPO,40.41612628789201,-3.733536573641621,"Centros Espacios Deporte,  Gimnasios"
78960,Centro Deportivo Municipal Centro Integrado Arganzuela,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=0fd38ed67151c010VgnVCM2000000c205a0aRCRD,"CALLE CANARIAS, 17",PALOS DE MOGUER,40.40207279862862,-3.6955325387824014,"Centros Espacios Deporte,  Gimnasios"
4687,Centro Deportivo Municipal Cerro Almodóvar,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8e96b0c40971c010VgnVCM1000000b205a0aRCRD,"CALLE CERRO DE ALMODOVAR, 9",SANTA EUGENIA,40.38168570611539,-3.602336460953483,"Centros Espacios Deporte,  Gimnasios"
4700,Centro Deportivo Municipal Chamartín,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=5f8c79262ef5d010VgnVCM1000000b205a0aRCRD,"AVENIDA PIO XII, 2",NUEVA ESPAÑA,40.46113349830694,-3.676208246061129,"Centros Espacios Deporte,  Gimnasios"
4672,Centro Deportivo Municipal Concepción,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f5bc79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE JOSE DEL HIERRO, 5",CONCEPCION,40.43725652047252,-3.6484498132292025,"Centros Espacios Deporte,  Gimnasios"
134059,Centro Deportivo Municipal Daoíz y Velarde 1,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=380d5f463b81c010VgnVCM1000000b205a0aRCRD,"PLAZA DAOIZ Y VELARDE, 5",PACIFICO,40.4013311774335,-3.677813143476423,"Centros Espacios Deporte,  Gimnasios"
140197,Centro Deportivo Municipal El Espinillo,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=9cdc79262ef5d010VgnVCM1000000b205a0aRCRD,"CARRETERA VILLAVERDE A VALLECAS, 19",LOS ROSALES,40.35634193991933,-3.686595141820635,"Centros Espacios Deporte,  Piscinas"
4676,Centro Deportivo Municipal Entrevías,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1e57b0c40971c010VgnVCM1000000b205a0aRCRD,"RONDA SUR, 4",ENTREVIAS,40.378413212706285,-3.674532317137481,"Centros Espacios Deporte,  Campos Estadios Futbol"
6486044,Centro Deportivo Municipal Escuelas de San Antón,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=4f9aad5078828310VgnVCM1000000b205a0aRCRD,"CALLE FARMACIA, 13",JUSTICIA,40.42382670120857,-3.699010103263697,"Centros Espacios Deporte,  Gimnasios"
4622862,Centro Deportivo Municipal Fabián Roncero,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=887e306502624110VgnVCM1000000b205a0aRCRD,"AVENIDA SEPTIMA, 68",REJAS,40.44965684114441,-3.597577201182505,"Centros Espacios Deporte,  Gimnasios"
4703,Centro Deportivo Municipal Fernando Martín,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=baa7b0c40971c010VgnVCM1000000b205a0aRCRD,"AVENIDA SANTO ANGEL DE LA GUARDA, 6",VALDEZARZA,40.460935404623164,-3.7121918299288628,"Centros Espacios Deporte,  Gimnasios"
4623547,Centro Deportivo Municipal Francisco Fernández Ochoa,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=aea1249dbda24110VgnVCM1000000b205a0aRCRD,"CALLE CATORCE OLIVAS, 1",BUENAVISTA,40.36581776978113,-3.740893980533789,"Centros Espacios Deporte,  Gimnasios"
4685,Centro Deportivo Municipal Francos Rodríguez,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=01d7b0c40971c010VgnVCM1000000b205a0aRCRD,"CALLE NUMANCIA, 11",CIUDAD UNIVERSITARIA,40.45358753138912,-3.713093094582233,"Centros Espacios Deporte,  Piscinas"
4623697,Centro Deportivo Municipal Fuente del Berro,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f4a2318c05b24110VgnVCM1000000b205a0aRCRD,"CALLE ELVIRA, 36",FUENTE DEL BERRO,40.42171956854877,-3.6652515154670167,"Centros Espacios Deporte,  Gimnasios"
4698,Centro Deportivo Municipal Gallur,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d92d79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE GALLUR, 2",LOS CARMENES,40.398465832065,-3.7353834506869217,"Centros Espacios Deporte,  Gimnasios"
51661,Centro Deportivo Municipal Gimnasio Moscardó,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c7cee7510551c010VgnVCM2000000c205a0aRCRD,"CALLE PILAR DE ZARAGOZA, 93",GUINDALERA,40.437945289676996,-3.674502029997267,"Centros Espacios Deporte,  Gimnasios"
4680,Centro Deportivo Municipal Hortaleza,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=705d79262ef5d010VgnVCM1000000b205a0aRCRD,"CARRETERA ESTACION DE HORTALEZA, 11",APOSTOL SANTIAGO,40.47871885134567,-3.652730062470741,"Centros Espacios Deporte,  Gimnasios"
4704,Centro Deportivo Municipal José María Cagigal,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=177d79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE SANTA POLA, 22",CASA DE CAMPO,40.43214955342785,-3.7369645992831364,"Centros Espacios Deporte,  Gimnasios"
4623700,Centro Deportivo Municipal La Almudena,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ff13318c05b24110VgnVCM1000000b205a0aRCRD,"CALLE NICOLAS SALMERÓN, 8",PUEBLO NUEVO,40.42060649869604,-3.6324237307227616,"Centros Espacios Deporte,  Piscinas"
4674,Centro Deportivo Municipal La Elipa,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f6b842be9971c010VgnVCM1000000b205a0aRCRD,"CALLE ALCALDE GARRIDO JUARISTI, 17",MEDIA LEGUA,40.41433123768487,-3.6559498758522833,"Centros Espacios Deporte,  Gimnasios"
104235,Centro Deportivo Municipal La Masó,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=15efe8ae8d81c010VgnVCM1000000b205a0aRCRD,"CALLE MASO, 80",MIRASIERRA,40.48442599932086,-3.7144222564719858,"Centros Espacios Deporte,  Gimnasios"
4695,Centro Deportivo Municipal La Mina,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=930942be9971c010VgnVCM1000000b205a0aRCRD,"CALLE MONSEÑOR OSCAR ROMERO, 41",VISTA ALEGRE,40.38234955664604,-3.746482524823702,"Centros Espacios Deporte,  Gimnasios"
