identificador,titulo,gratuito,fecha_inicio,fecha_fin,url,actividad,lugar,lat,lng,tipo
10112682,Atlético de Madrid - D. Alavés,0,1471730400,1471816740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b6bc796f4e706510VgnVCM2000001f4a900aRCRD,Partidos de Liga. Atlético de Madrid,Estadio Vicente Calderón,40.401455987482606,-3.721215933848041,"Actividades Deportivas, Futbol"
10112685,Atlético de Madrid - Granada CF,0,1476568800,1476655140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6abc796f4e706510VgnVCM2000001f4a900aRCRD,Partidos de Liga. Atlético de Madrid,Estadio Vicente Calderón,40.401455987482606,-3.721215933848041,"Actividades Deportivas, Futbol"
10112688,Atlético de Madrid - Málaga CF,0,1477778400,1477868340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a2dc796f4e706510VgnVCM2000001f4a900aRCRD,Partidos de Liga. Atlético de Madrid,Estadio Vicente Calderón,40.401455987482606,-3.721215933848041,"Actividades Deportivas, Futbol"
10112684,Atlético de Madrid - RC Deportivo,0,1474754400,1474840740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=8cbc796f4e706510VgnVCM2000001f4a900aRCRD,Partidos de Liga. Atlético de Madrid,Estadio Vicente Calderón,40.401455987482606,-3.721215933848041,"Actividades Deportivas, Futbol"
10112683,Atlético de Madrid - R. Sporting,0,1474149600,1474235940,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c5bc796f4e706510VgnVCM2000001f4a900aRCRD,Partidos de Liga. Atlético de Madrid,Estadio Vicente Calderón,40.401455987482606,-3.721215933848041,"Actividades Deportivas, Futbol"
10114114,Atletismo. Carrera Popular Asociación Víctimas del Terrorismo 2016,0,1474754400,1474840740,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6922733c31216510VgnVCM1000001d4a900aRCRD,Atletismo. Carrera Popular Asociación Víctimas del Terrorismo 2016,Centro Deportivo Municipal Moratalaz,40.39885854572339,-3.632432290214539,"Actividades Deportivas, Carreras Maratones"
10109581,Atletismo. VII Carrera Popular del Corazón,0,1474668000,1474754340,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2cbd2e38119e5510VgnVCM1000001d4a900aRCRD,Atletismo. VII Carrera Popular del Corazón,Parque de la Casa de Campo,40.41472407139105,-3.7301857404819767,"Actividades Deportivas, Carreras Maratones"
10112731,Rayo Vallecano - Cádiz CF,0,1475359200,1475445540,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6547796f4e706510VgnVCM2000001f4a900aRCRD,Partidos de Liga. Estadio de Vallecas,Estadio de Vallecas,40.39234504772624,-3.6582462080515588,"Actividades Deportivas, Futbol"
10112732,Rayo Vallecano - CD Numancia,0,1476568800,1476655140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=78c7796f4e706510VgnVCM2000001f4a900aRCRD,Partidos de Liga. Estadio de Vallecas,Estadio de Vallecas,40.39234504772624,-3.6582462080515588,"Actividades Deportivas, Futbol"
10112730,Rayo Vallecano - Getafe CF,0,1474408800,1474495140,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=1ccd566813946010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e3d6796f4e706510VgnVCM2000001f4a900aRCRD,Partidos de Liga. Estadio de Vallecas,Estadio de Vallecas,40.39234504772624,-3.6582462080515588,"Actividades Deportivas, Futbol"
