identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
186440,"A.L.M. UNIVASS, S.L.",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=988748d20675e010VgnVCM1000000b205a0aRCRD,"AVENIDA VENTISQUERO DE LA CONDESA, 46",MIRASIERRA,40.494665359867525,-3.7179412181234106,"Centros Atencion Medica,  Hospitales Clinicas Sanatorios"
53123,Centro Concertado de Atención a las Drogodependencias (CCAD) Casa de Campo (Cruz Roja),0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=97d3598d1351c010VgnVCM1000000b205a0aRCRD,"AVENIDA PORTUGAL, 0",PUERTA DEL ANGEL,40.41633059885888,-3.7239914257003304,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
134929,Centro Concertado de Atención a las Drogodependencias (CCAD) Cáritas Madrid,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ba654d9d91f010VgnVCM2000000c205a0aRCRD,"CALLE VOLUNTARIOS CATALANES, 69",VALDEACEDERAS,40.46564015740803,-3.704503676083474,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
5855213,Centro Concertado de Atención a las Drogodependencias (CCAD) Fúcar (Cruz Roja),0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c5dc3e042111c210VgnVCM2000000c205a0aRCRD,"AVENIDA PORTUGAL, S/N",PUERTA DEL ANGEL,40.41633059885888,-3.7239914257003304,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11867,Centro de Atención a las Drogodependencias (CAD) de Arganzuela,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=de74d4985261c010VgnVCM1000000b205a0aRCRD,"PASEO CHOPERA, 12",CHOPERA,40.39305745803064,-3.6980673403694104,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11887,Centro de Atención a las Drogodependencias (CAD) de Hortaleza,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=25a4d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE MINAYA, 7",CANILLAS,40.468288815918534,-3.636150078507109,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11862,Centro de Atención a las Drogodependencias (CAD) de Latina,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=7bc4d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE CAMARENA, 10",ALUCHE,40.39597072367931,-3.7562716852987847,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11865,Centro de Atención a las Drogodependencias (CAD) de San Blas,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c1f4d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE ALCALA, 527",EL SALVADOR,40.44097774609991,-3.6271316821262958,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11866,Centro de Atención a las Drogodependencias (CAD) de Tetuán,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=1815d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE PINOS ALTA, 122",ALMENARA,40.47084721439769,-3.701561801865397,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11864,Centro de Atención a las Drogodependencias (CAD) de Vallecas,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6e35d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE CONCORDIA, 17",SAN DIEGO,40.39501488341387,-3.665565995938502,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11863,Centro de Atención a las Drogodependencias (CAD) de Villaverde,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=b465d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE VERDE VIENTO, 16",SAN ANDRES,40.35231468998616,-3.717783527602668,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
11899,Centro de Atención Básica Sociosanitaria a Drogodependientes,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a946d4985261c010VgnVCM1000000b205a0aRCRD,"CALLE FUCAR, 8",CORTES,40.4119727880399,-3.695693389670018,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
5408374,Centro de Atención Integral a Drogodependientes Vallecas (Centro Sanitario Polivalente de Vallecas),0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=eaa91657da473210VgnVCM2000000c205a0aRCRD,"CALLE CINCOVILLAS, 1",CASCO H.VALLECAS,40.3683826319493,-3.6237845559205977,"Centros Atencion Medica,  Centros Asistencia Drogodependientes"
