identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
5996376,Biblioteca de Agricultura y Alimentación,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=faada47c95ebe210VgnVCM2000000c205a0aRCRD,"PASEO INFANTA ISABEL, 1",LOS JERONIMOS,40.40865200572528,-3.6905914083142104,Bibliotecas Especializadas Universitarias
43550,"Biblioteca de Educación. Ministerio de Educación, Cultura y Deporte",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=135c598d1351c010VgnVCM1000000b205a0aRCRD,"CALLE SAN AGUSTIN, 5",CORTES,40.41496601492552,-3.696820375756445,Bibliotecas Especializadas Universitarias
2033,Biblioteca de Medio Ambiente,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=f7ad1e79ee71c010VgnVCM1000000b205a0aRCRD,"PLAZA SAN JUAN DE LA CRUZ, S/N",RIOS ROSAS,40.441940126522496,-3.693643966751646,Archivos Centros Documentacion
1823,Biblioteca del Ministerio de Empleo y Seguridad Social,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fd78ef4d7f71c010VgnVCM1000000b205a0aRCRD,"CALLE HUERTAS, 73",CORTES,40.413084518797156,-3.6950919504264967,Bibliotecas Especializadas Universitarias
1881,Biblioteca Histórica Municipal,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ccbc3d0b5e71c010VgnVCM1000000b205a0aRCRD,"CALLE CONDE DUQUE, 9",UNIVERSIDAD,40.42737760210632,-3.7106116887809817,Bibliotecas Publicas
6779450,Biblioteca Musical Víctor Espinós,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=d482270f58c6c310VgnVCM2000000c205a0aRCRD,"CALLE CONDE DUQUE, 9",UNIVERSIDAD,40.42737760210632,-3.7106116887809817,Bibliotecas Publicas
1744,Biblioteca Nacional de España,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2b8d995a8bf5d010VgnVCM2000000c205a0aRCRD,"PASEO RECOLETOS, 20",RECOLETOS,40.423001908945956,-3.69084423390357,Monumentos Edificios Artisticos
1882,Biblioteca Pública Municipal Conde Duque (Centro),1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=13ec3d0b5e71c010VgnVCM1000000b205a0aRCRD,"CALLE CONDE DUQUE, 9",UNIVERSIDAD,40.42738668300474,-3.7105999955473625,Bibliotecas Publicas
1857,Biblioteca y Centro de Documentación de la Cámara de Comercio e Industria de Madrid,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=22913d0b5e71c010VgnVCM1000000b205a0aRCRD,"CALLE PEDRO SALINAS, 11",COLINA,40.45778346670559,-3.661974513251819,Archivos Centros Documentacion
4289,"Centro de Documentación del libro, la lectura y las letras",0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=74b03b54d771c010VgnVCM1000000b205a0aRCRD,"CALLE SANTIAGO RUSI&Ntilde;OL, 8",CIUDAD UNIVERSITARIA,40.44696264594859,-3.7165371547459913,Archivos Centros Documentacion
1858,Centro de Estudios Hidrográficos,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=e38c3d0b5e71c010VgnVCM1000000b205a0aRCRD,"PASEO VIRGEN DEL PUERTO, 3",PALACIO,40.41761563013809,-3.7201861801132976,Bibliotecas Especializadas Universitarias
